name,artist_id,track_id,track_name,popularity
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98
LISA,5L1lO4eRHmJ7a0Q6csE5cT,7hU3IHwjX150XLoTVmjD0q,MONEY,83
LISA,5L1lO4eRHmJ7a0Q6csE5cT,7uQZVznj0uQOGC9KhV2Mg6,LALISA,76
NONT TANONT,6chmC6o0wvACYVGTITw3Pz,5Zlwu2g4rzTNfyu28L1bWv,รักแรก (First Love) - เพลงประกอบภาพยนตร์ รักแรกโคตรลืมยาก My Precious,74
Jimin,1oSPZhvZMIrWW5I41kPkkY,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,96
Newery,2ztuZ95DKP7O7DDAxCKYen,5OaXaynJZgklXEwzhouey5,กลิ่นดอกไม้,74
JISOO,6UZ0ba50XreR4TM8u322gs,69CrOS7vEHIrhC2ILyEi0s,FLOWER,83
เรนิษรา,2UmVsCJpQoAGPcaKbCyheW,7BUHKcrvmr9WIAgEBkwukl,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว),73
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,94
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),88
BTS,3Nrfpe0tUJi4K4DXYWgMUX,5IAESfJjmOYu7cHyX557kz,Take Two,94
TAEYANG,6udveWUgX4vu75FF0DTrXV,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),79
Cocktail,6JrR3zrG0NQiXb9N9XSyGb,38uarkAk3Y13onWxwj0MIq,ไม่เป็นรอง,71
DIDIxDADA,2wd5kKWvp9e1i7rBtvvGSc,7KmY6wBpheP60rFEJPJBqN,จังหวะตกหลุมรัก - Magic Moment,71
JUNENOM,2UFwI4H1ZRWRRCdsxC9N7N,7cwlsNRPvS8v5IqgdScwM8,กาลครั้งนึง,66
YEW,2xsBUJ327d3iC1LvL5hYrQ,0ZcyX8hFV1jdJNWOI8mMXF,Summertime,71
First Anuwat,4KjqrvqKO5fbI5yDR5yzny,7jq0O5rfrzEIqNOsc7v9JT,เดินมาส่ง - BYE,70
Three Man Down,1qAOsY7jv9GFTv4HoVof5P,3vdZ30MzgeTe5PiJXEmqjr,ข้างกัน (City),71
Pop Pongkool,1C6qssOWal7Sii2guMg0mx,03Yp2uEOtPGHQ6E9XSjmyv,สลักจิต,71
Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,100
sarah salola,70ircOPIxsddNpd8Vgq23E,5DMALWZOGyyc7noptzvF2j,ยินดี - เพลงประกอบละครมาตาลดา ช่อง 3,63
Musketeers,0OjRa6r1EIPF5RZPy1SGz9,3XCoEJvCYqTbM8bhples8N,พิจารณา (Consider),70
YourMOOD,5YcdFv3OumeTW8cVW788gT,3vfwUrq22haMmIJyyyI7Hq,ลาก่อน,70
SHERRY,3Uzr5SP3rk1GL9OdPYL0Rz,5LEp7WRnb0T3L2R2mTa9IZ,เธอไม่ได้สอนให้ฉันอยู่คนเดียว,69
ARMOR,5mgTHOrzHxFvdg8AgUsGuD,45dtFcaOs4lBf8gXAAoN8W,Fall in Love,66
bamm,2ORibfYGMt8fuIimSDCTq1,47WfK6QKlLwIOxJaonJ3bA,ใครเพื่อนแก,70
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,97
QLER,1P3bwZsaq5vobeBAmrsAFk,3MIVadmVbWGZR0VzNceGt1,ใจลอย,69
Safeplanet,1DsSoeOUg0YS2hl2czNcbw,2RJ7Q3gHb6cOeNBioSARni,ข้างกาย ( With You ),67
Anatomy Rabbit,73M9RjjrrKjXnf6Is6hNdg,3qMYr2bVu2HpSKrSJ2zj8K,แอบหวัง,69
THEMOONWILLALWAYSBEWITHME,0yVywi4NwefY85n4BxZMaz,3Ry2KPewzbt43hiQPTnDTK,ซูลูปาก้า ตาปาเฮ้,69
Mirrr,5zSQoNQ9o2dnT1LPTzDxg7,1rNYuv63emsYt4Jjv8RlgJ,เจ้าของที่,65
Three Man Down,1qAOsY7jv9GFTv4HoVof5P,0gfAnUVd4sH8IiCWvF3j9P,เปิดตัวเขา (Rebound),67
AYLA's,2XiaPu2j4nBMhF8pIlt6Bk,4fwPmzupzsPEzwquuuVaiw,จากตรงนี้ที่(เคย)สวยงาม [La La Bye],69
DJ Snake,540vIaP2JwjQb9dm3aArA4,6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",79
