artist_id,name,Genre 1,Genre 2,Genre 3,Genre 4
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,,,
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,,,
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,,,
6chmC6o0wvACYVGTITw3Pz,NONT TANONT,thai pop,,,
1oSPZhvZMIrWW5I41kPkkY,Jimin,k-pop,,,
2ztuZ95DKP7O7DDAxCKYen,Newery,thai pop,,,
6UZ0ba50XreR4TM8u322gs,JISOO,k-pop,,,
2UmVsCJpQoAGPcaKbCyheW,เรนิษรา,thai pop,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,pop,viral pop,,
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop,k-pop boy group,pop,
6udveWUgX4vu75FF0DTrXV,TAEYANG,k-pop,korean r&b,,
6JrR3zrG0NQiXb9N9XSyGb,Cocktail,thai pop,thai rock,,
2wd5kKWvp9e1i7rBtvvGSc,DIDIxDADA,thai pop,,,
2UFwI4H1ZRWRRCdsxC9N7N,JUNENOM,,,,
2xsBUJ327d3iC1LvL5hYrQ,YEW,thai indie rock,thai pop,,
4KjqrvqKO5fbI5yDR5yzny,First Anuwat,thai pop,,,
1qAOsY7jv9GFTv4HoVof5P,Three Man Down,thai indie pop,thai pop,,
1C6qssOWal7Sii2guMg0mx,Pop Pongkool,thai pop,,,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,,,
70ircOPIxsddNpd8Vgq23E,sarah salola,thai pop,,,
0OjRa6r1EIPF5RZPy1SGz9,Musketeers,deep german indie,thai pop,,
5YcdFv3OumeTW8cVW788gT,YourMOOD,thai pop,,,
3Uzr5SP3rk1GL9OdPYL0Rz,SHERRY,thai indie,,,
5mgTHOrzHxFvdg8AgUsGuD,ARMOR,,,,
2ORibfYGMt8fuIimSDCTq1,bamm,thai pop,,,
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,,,
1P3bwZsaq5vobeBAmrsAFk,QLER,thai pop,,,
1DsSoeOUg0YS2hl2czNcbw,Safeplanet,thai indie pop,thai pop,,
73M9RjjrrKjXnf6Is6hNdg,Anatomy Rabbit,thai folk,thai indie pop,thai pop,
0yVywi4NwefY85n4BxZMaz,THEMOONWILLALWAYSBEWITHME,thai pop,,,
5zSQoNQ9o2dnT1LPTzDxg7,Mirrr,thai indie pop,thai pop,,
1qAOsY7jv9GFTv4HoVof5P,Three Man Down,thai indie pop,thai pop,,
2XiaPu2j4nBMhF8pIlt6Bk,AYLA's,thai pop,,,
540vIaP2JwjQb9dm3aArA4,DJ Snake,edm,electronic trap,pop,pop dance
3u45DFB1kjVXKwE14FKXCo,Blackbeans,thai indie rock,thai pop,,
4tNPboeMQnpoUX7IEbPLdF,PROXIE,thai pop,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
5xq3BK55BJmutN0X7eTyQB,Jeff Satur,thai pop,,,
3eK3fsbCi7wc4hThk9wSZO,CHRRISSA,thai pop,,,
6HlUN1Md7UT62mNJHOYRsK,PiXXiE,t-pop girl group,thai pop,,
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,k-pop,k-pop girl group,pop,
1zVBNAJivxfj3HygJZOSw3,Dept,thai indie rock,thai pop,,
3xlC7Dw0uiwprXDHCU9SAu,PURPEECH,thai pop,,,
2UmVsCJpQoAGPcaKbCyheW,เรนิษรา,thai pop,,,
7LiltnpnD4Q60750gWXrgB,Boyd Kosiyabong,thai pop,,,
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,k-pop girl group,,
1s5OUEKobcxAqQaDKQnRAi,VELIKA,,,,
246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,melodic rap,pop,rap
0tNQk80J4jiIo3eOVvcda6,Lower Mansion,,,,
