name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3"
"Jung Kook",6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,"Seven (feat. Latto) (Explicit Ver.)",98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,"",""
"Keung To",0DwdA5ZgTJcIQ2uIhc110D,2CwGJLH5jTBlVQhMfjCc6e,Dummy,77,2CwGJLH5jTBlVQhMfjCc6e,0.631,0.865,3,-4.415,0,0.221,0.11,0.0,0.0866,0.51,172.716,246144,4,cantopop,hk-pop,""
"Keung To",0DwdA5ZgTJcIQ2uIhc110D,1VU4roZEde9uI25e4rUOuU,"沒有翅膀的天使",72,1VU4roZEde9uI25e4rUOuU,0.425,0.397,6,-10.623,1,0.0403,0.116,7.37e-06,0.0808,0.311,198.058,198000,3,cantopop,hk-pop,""
"Keung To",0DwdA5ZgTJcIQ2uIhc110D,3uHE0cVFDFDORAVhwLqL4p,"追",72,3uHE0cVFDFDORAVhwLqL4p,0.384,0.373,0,-7.503,1,0.0305,0.761,2.38e-06,0.113,0.229,177.818,313944,4,cantopop,hk-pop,""
"Keung To",0DwdA5ZgTJcIQ2uIhc110D,11IqNbLOD4s4nVYSuEttFR,"Dear My Friend,",69,11IqNbLOD4s4nVYSuEttFR,0.646,0.452,0,-8.152,1,0.0307,0.723,0.0,0.117,0.266,94.566,232008,4,cantopop,hk-pop,""
"Keung To",0DwdA5ZgTJcIQ2uIhc110D,172oAbLGpgeCsukno7oBRe,"風雨不改 (電影《阿媽有咗第二個》主題曲)",68,172oAbLGpgeCsukno7oBRe,0.319,0.198,0,-11.611,1,0.0402,0.942,8.65e-06,0.0817,0.287,62.925,308053,4,cantopop,hk-pop,""
"Anson Lo 盧瀚霆",2G4Ntbg3dYqkUAGrMUZ0U7,7nJlkwxJSNDqO20WWeLuNX,Nah,70,7nJlkwxJSNDqO20WWeLuNX,0.644,0.855,5,-3.426,0,0.248,0.073,0.0,0.132,0.67,155.93,233188,4,hk-pop,"",""
NewJeans,6HvZYsbFfjnjFrWF950C9d,5sdQOyqq2IDhvmx2lHOpwd,"Super Shy",94,5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,154667,4,k-pop,"k-pop girl group",""
"Anson Lo 盧瀚霆",2G4Ntbg3dYqkUAGrMUZ0U7,4bzylGLMAjkb8AYCcsu96R,MONEY,68,4bzylGLMAjkb8AYCcsu96R,0.729,0.774,2,-3.246,1,0.107,0.0758,0.0,0.0637,0.416,99.999,202538,4,hk-pop,"",""
"Anson Lo 盧瀚霆",2G4Ntbg3dYqkUAGrMUZ0U7,54ugnbuE4eWGhdXKMAAWFV,"MONEY (Anson Lo x Dear Jane)",67,54ugnbuE4eWGhdXKMAAWFV,0.504,0.952,0,-2.637,1,0.0894,0.000734,0.0,0.331,0.548,100.037,218421,4,hk-pop,"",""
